Verb,Tense,Person,English,Kurdish (Latin),Kurdish (Arabic)
Assist,Future,We,We will assist,em dê golekê soni' keyn,ئەم دێ گولەكێ سونع كەین
Assist,Future,You (pl.),You will assist,hîn dê golekê soni' ken,ھین دێ گولەكێ سونع كەن
Assist,Future,They,They will assist,ew dê golekê soni' ken,ئەو دێ گولەكێ سونع كەن
Assist,Past,I,I assisted,min golek çê kir,من گولەك چێ كر
Assist,Past,You,You assisted,te golek çê kir,تە گولەك چێ كر
Assist,Past,He/She,He/She assisted,ewî/ewê golek çê kir,ئەوی/ئەوێ گولەك چێ كر
Assist,Past,We,We assisted,me golek çê kir,مە گولەك چێ كر
Assist,Past,You (pl.),You assisted,hewe golek çê kir,ھەوە گولەك چێ كر
Assist,Past,They,They assisted,ewan golek çê kir,ئەوان گولەك چێ كر
Assist,Present,I,I assist,ez golekê çê di kem,ئەز گولەكێ چێ د كەم
Assist,Present,You,You assist,tu golekê çê di key,تو گولەكێ چێ د كەی
Assist,Present,He/She,He/She assists,ew golekê çê di ket,ئەو گولەكێ چێ د كەت
Assist,Present,We,We assist,em golekê çê di keyn,ئەم گولەكێ چێ د كەین
Assist,Present,You (pl.),You assist,hîn golekê çê di ken,ھین گولەكێ چێ د كەن
Assist,Present,They,They assist,ew golekê çê di ken,ئەو گولەكێ چێ د كەن
Assist,Future,I,I will assist,ez dê golekê çê kem,ئەز دێ گولەكێ چێ كەم
Assist,Future,You,You will assist,tu dê golekê çê key,تو دێ گولەكێ چێ كەی
Assist,Future,He/She,He/She will assist,ew dê golekê çê ket,ئەو دێ گولەكێ چێ كەت
Assist,Future,We,We will assist,em dê golekê çê keyn,ئەم دێ گولەكێ چێ كەین
Assist,Future,You (pl.),You will assist,hîn dê golekê çê ken,ھین دێ گولەكێ چێ كەن
Assist,Future,They,They will assist,ew dê golekê çê ken,ئەو دێ گولەكێ چێ كەن
Attack,Past,I,I attacked,min hicum kire ,من ھجوم كرە
Attack,Past,You,You attacked,min hicum kire ,من ھجوم كرە
Attack,Past,He/She,He/She attacked,min hicum kire ,من ھجوم كرە
Attack,Past,We,We attacked,min hicum kire ,من ھجوم كرە
Attack,Past,You (pl.),You attacked,min hicum kire ,من ھجوم كرە
Attack,Past,They,They attacked,min hicum kire ,من ھجوم كرە
Attack,Present,I,I attack,ez hicum di keme ,ئەز ھجوم د كەمە
Attack,Present,You,You attack,tu hicum di keye ,تو ھجوم د كەیە
Attack,Present,He/She,He/She attacks,ew hicum di kete ,ئەو ھجوم د كەتە
Attack,Present,We,We attack,em hicum di keyne ,ئەم ھجوم د كەینە
Attack,Present,You (pl.),You attack,hîn hicum di kene ,ھین ھجوم د كەنە
Attack,Present,They,They attack,ew hicum di kene ,ئەو ھجوم د كەنە
Attack,Future,I,I will attack,ez dê hicum keme ,ئەز دێ ھجوم كەمە
Attack,Future,You,You will attack,tu dê hicum keye ,تو دێ ھجوم كەیە
Attack,Future,He/She,He/She will attack,ew dê hicum kete ,ئەو دێ ھجوم كەتە
Attack,Future,We,We will attack,em dê hicum keyne ,ئەم دێ ھجوم كەینە
Attack,Future,You (pl.),You will attack,hîn dê hicum kene ,ھین دێ ھجوم كەنە
Attack,Future,They,They will attack,ew dê hicum kene ,ئەو دێ ھجوم كەنە
Authorize,Past,I,I authorized,min mwafeqe (li ser OW) kir,من موافەقە كر
Authorize,Past,You,You authorized,te mwafeqe (li ser OW) kir,تە موافەقە كر
Authorize,Past,He/She,He/She authorized,ewî/ewê mwafeqe (li ser OW) kir,ئەوی/ئەوێ موافەقە كر
Authorize,Past,We,We authorized,me mwafeqe (li ser OW) kir,مە موافەقە كر
Authorize,Past,You (pl.),You authorized,hewe mwafeqe (li ser OW) kir,ھەوە موافەقە كر
Authorize,Past,They,They authorized,ewan mwafeqe (li ser OW) kir,ئەوان موافەقە كر
Authorize,Present,I,I authorize,ez mwafeqê (li ser OW) di kem,ئەز موافەقێ د كەم
Authorize,Present,You,You authorize,tu mwafeqê (li ser OW) di key,تو موافەقێ د كەی
Authorize,Present,He/She,He/She authorizes,ew mwafeqê (li ser OW) di ket,ئەو موافەقێ د كەت
Authorize,Present,We,We authorize,em mwafeqê (li ser OW) di keyn,ئەم موافەقێ د كەین
Authorize,Present,You (pl.),You authorize,hîn mwafeqê (li ser OW) di ken,ھین موافەقێ د كەن
Authorize,Present,They,They authorize,ew mwafeqê (li ser OW) di ken,ئەو موافەقێ د كەن
Authorize,Future,I,I will authorize,ez dê mwafeqê (li ser OW) kem,ئەز دێ موافەقێ كەم
Authorize,Future,You,You will authorize,tu dê mwafeqê (li ser OW) key,تو دێ موافەقێ كەی
Authorize,Future,He/She,He/She will authorize,ew dê mwafeqê (li ser OW) ket,ئەو دێ موافەقێ كەت
Authorize,Future,We,We will authorize,em dê mwafeqê (li ser OW) keyn,ئەم دێ موافەقێ كەین
Authorize,Future,You (pl.),You will authorize,hîn dê mwafeqê (li ser OW) ken,ھین دێ موافەقێ كەن
Authorize,Future,They,They will authorize,ew dê mwafeqê (li ser OW) ken,ئەو دێ موافەقێ كەن
Avenge,Past,I,I avenged,min tolêt  ve kirin,من تولێت ڤە كرن
Avenge,Past,You,You avenged,te tolêt  ve kirin,تە تولێت ڤە كرن
Avenge,Past,He/She,He/She avenged,ewî/ewê tolêt  ve kirin,ئەوی/ئەوێ تولێت ڤە كرن
Avenge,Past,We,We avenged,me tolêt  ve kirin,مە تولێت ڤە كرن
Avenge,Past,You (pl.),You avenged,hewe tolêt  ve kirin,ھەوە تولێت ڤە كرن
Avenge,Past,They,They avenged,ewan tolêt  ve kirin,ئەوان تولێت ڤە كرن
Avenge,Present,I,I avenge,ez tolêt  ve di kem,ئەز تولێت ڤە د كەم
Avenge,Present,You,You avenge,tu tolêt  ve di key,تو تولێت ڤە د كەی
Avenge,Present,He/She,He/She avenges,ew tolêt  ve di ket,ئەو تولێت ڤە د كەت
Avenge,Present,We,We avenge,em tolêt  ve di keyn,ئەم تولێت ڤە د كەین
Avenge,Present,You (pl.),You avenge,hîn tolêt  ve di ken,ھین تولێت ڤە د كەن
Avenge,Present,They,They avenge,ew tolêt  ve di ken,ئەو تولێت ڤە د كەن
Avenge,Future,I,I will avenge,ez dê tolêt  ve kem,ئەز دێ تولێت ڤە كەم
Avenge,Future,You,You will avenge,tu dê tolêt  ve key,تو دێ تولێت ڤە كەی
Avenge,Future,He/She,He/She will avenge,ew dê tolêt  ve ket,ئەو دێ تولێت ڤە كەت
Avenge,Future,We,We will avenge,em dê tolêt  ve keyn,ئەم دێ تولێت ڤە كەین
Avenge,Future,You (pl.),You will avenge,hîn dê tolêt  ve ken,ھین دێ تولێت ڤە كەن
Avenge,Future,They,They will avenge,ew dê tolêt  ve ken,ئەو دێ تولێت ڤە كەن
Be,Past,I,I was,ez ( ) bûm,ئەز () بووم
Be,Past,You,You were,tu ( ) bûî,تو () بووی
Be,Past,He/She,He/She was,ew ( ) bû,ئەو () بوو
Be,Past,We,We were,em ( ) bûîn,ئەم () بووین
Be,Past,You (pl.),You were,hîn ( ) bûn,هین ( ) بوون
Be,Past,They,They were,ew ( ) bûn,ئه‌و ( ) بوون
Be,Present,I,I am,ez ( ) m/me,ئەز () م/مە
Be,Present,You,You are,tu ( ) î,تو () ی
Be,Present,He/She,He/She is,ew ( ) e/ye,ئەو () ە/یە
Be,Present,We,We are,em ( ) în/îne,ئەم () ین/ینە
Be,Present,You (pl.),You are,hîn ( ) n/ne,هین ( ) ن/نه‌
Be,Present,They,They are,ew ( ) n/ne,ئه‌و ( ) ن/نه‌
Be,Future,I,I will be,ez dê ( ) bim,ئەز دێ () بم
Be,Future,You,You will be,tu dê ( ) bî,تو دێ () بی
Be,Future,He/She,He/She will be,ew dê  ( ) bît,ئەو دێ () بیت
Be,Future,We,We will be,em dê ( ) bîn,ئەم دێ () بین
Be,Future,You (pl.),You will be,hîn dê ( ) bin,هین دێ ( ) بن
Be,Future,They,They will be,ew dê  ( ) bin,ئه‌و دێ  ( ) بن
Be Able To,Past,I,I could,ez di şîyam,ئەز د شییام
Be Able To,Past,You,You could,tu di şîyay,تو د شییای
Be Able To,Past,He/She,He/She could,ew di şîya,ئەو د شییا
Be Able To,Past,We,We could,em di şîyayîn,ئەم د شییایین
Be Able To,Past,You (pl.),You could,hîn di şîyan,ھین د شییان
Be Able To,Past,They,They could,ew di şîyan,ئەو د شییان
Be Able To,Present,I,I can,ez di şêm,ئەز د شێم
Be Able To,Present,You,You can,tu di şê,تو د شێ
Be Able To,Present,He/She,He/She can,ew di şêt,ئەو د شێت
Be Able To,Present,We,We can,em di şên,ئەم د شێن
Be Able To,Present,You (pl.),You can,hîn di şên,ھین د شێن
Be Able To,Present,They,They can,ew di şên,ئەو د شێن
Be Able To,Future,I,I will be able to,ez dê şêm,ئەز دێ شێم
Be Able To,Future,You,You will be able to,tu dê şê,تو دێ شێ
Be Able To,Future,He/She,He/She will be able to,ew dê şêt,ئەو دێ شێت
Be Able To,Future,We,We will be able to,em dê şên,ئەم دێ شێن
Be Able To,Future,You (pl.),You will be able to,hîn dê şên,ھین دێ شێن
Be Able To,Future,They,They will be able to,ew dê şên,ئەو دێ شێن
be joyful,Past,I,I was joyful,ez dilgeşî bum,ئەز دلگەشی بوم
be joyful,Past,You,You were joyful,te dilgeşî bwî,تە دلگەشی بوی
be joyful,Past,He/She,He/She was joyful,ew dilgeşî bu,ئەو دلگەشی بو
be joyful,Past,We,We were joyful,me dilgeşîbwîn,مە دلگەشیبوین
be joyful,Past,You (pl.),You were joyful,hewe  dilgeşîbun,ھەوە  دلگەشیبون
be joyful,Past,They,They were joyful,ewan dilgeşîbun,ئەوان دلگەشیبون
be joyful,Present,I,I am joyful,ez dilgeşîm,ئەز دلگەشیم
be joyful,Present,You,You are joyful,tu dilgeşîy,تو دلگەشیی
be joyful,Present,He/She,He/She is joyful,ew dilgeşiye,ئەو دلگەشیە
be joyful,Present,We,We are joyful,em dilgeşîbîn,ئەم دلگەشیبین
be joyful,Present,You (pl.),You are joyful,hîn dilgeşîn,ھین دلگەشین
be joyful,Present,They,They are joyful,ew dilgeşîn,ئەو دلگەشین
be joyful,Future,I,I will be joyful,ez dê dilgeşîm,ئەز دێ دلگەشیم
be joyful,Future,You,You will be joyful,tu dê dilgeşîy,تو دێ دلگەشیی
be joyful,Future,He/She,He/She will be joyful,ew dê dilgeşîbît,ئەو دێ دلگەشیبیت
be joyful,Future,We,We will be joyful,em dê dilgeşîbîn,ئەم دێ دلگەشیبین
be joyful,Future,You (pl.),You will be joyful,hîn dê dilgeşîbin,ھین دێ دلگەشیبن
be joyful,Future,They,They will be joyful,ew dê dilgeşîbin,ئەو دێ دلگەشیبن
Beat,Past,I,I beat, ez qotam,ئەز قوتام
Beat,Past,You,You beat, tu qotaî,تو قوتای
Beat,Past,He/She,He/She beat, ew qota,ئەو قوتا
Beat,Past,We,We beat, em qotaîn,ئەم قوتاین
Beat,Past,You (pl.),You beat, hîn qotan,ھین قوتان
Beat,Past,They,They beat, ew qotan,ئەو قوتان
Beat,Present,I,I beat,ez  di qotim,ئەز د قوتم
Beat,Present,You,You beat,tu  di qotî,تو د قوتی
Beat,Present,He/She,He/She beats,ew  di qotit,ئەو د قوتیت
Beat,Present,We,We beat,em  di qotîn,ئەم د قوتین
Beat,Present,You (pl.),You beat,hîn  di qotin,ھین د قوتن
Beat,Present,They,They beat,ew  di qotin,ئەو د قوتن
Beat,Future,I,I will beat,ez dê  qotim,ئەز دێ قوتم
Beat,Future,You,You will beat,tu dê  qotî,تو دێ قوتی
Beat,Future,He/She,He/She will beat,ew dê  qotit,ئەو دێ قوتیت
Beat,Future,We,We will beat,em dê  qotîn,ئەم دێ قوتین
Beat,Future,You (pl.),You will beat,hîn dê  qotin,ھین دێ قوتن
Beat,Future,They,They will beat,ew dê  qotin,ئەو دێ قوتن
Beat Someone,Past,I,I beat,min ji  bir,من ژ بر
Beat Someone,Past,You,You beat,te ji  bir,تە ژ بر
Beat Someone,Past,He/She,He/She beat,ewî/ewê ji  bir,ئەوی/ئەوێ ژ بر
Beat Someone,Past,We,We beat,me ji  bir,مە ژ بر
Beat Someone,Past,You (pl.),You beat,hewe ji  bir,ھەوە ژ بر
Beat Someone,Past,They,They beat,ewan ji  bir,ئەوان ژ بر
Beat Someone,Present,I,I beat,ez ji  di bim,ئەز ژ د بم
Beat Someone,Present,You,You beat,tu ji  di bî,تو ژ د بی
Beat Someone,Present,He/She,He/She beats,ew ji  di bit,ئەو ژ د بیت
Beat Someone,Present,We,We beat,em ji  di bîn,ئەم ژ د بین
Beat Someone,Present,You (pl.),You beat,hîn ji  di bin,ھین ژ د بن
Beat Someone,Present,They,They beat,ew ji  di bin,ئەو ژ د بن
Beat Someone,Future,I,I will beat,ez dê ji  bim,ئەز دێ ژ بم
Beat Someone,Future,You,You will beat,tu dê ji  bî,تو دێ ژ بی
Beat Someone,Future,He/She,He/She will beat,ew dê ji  bit,ئەو دێ ژ بیت
Beat Someone,Future,We,We will beat,em dê ji  bîn,ئەم دێ ژ بین
Beat Someone,Future,You (pl.),You will beat,hîn dê ji  bin,ھین دێ ژ بن
Beat Someone,Future,They,They will beat,ew dê ji  bin,ئەو دێ ژ بن
Believe,Past,I,I believed,min bawerîya xo bi  îna,من باوەرییا خو ب ئینا
Believe,Past,You,You believed,te bawerîya xo bi  îna,تە باوەرییا خو ب ئینا
Believe,Past,He/She,He/She believed,ewî/ewê bawerîya xo bi  îna,ئەوی/ئەوێ باوەرییا خو ب ئینا
Believe,Past,We,We believed,me bawerîya xo bi  îna,مە باوەرییا خو ب ئینا
Believe,Past,You (pl.),You believed,hewe bawerîya xo bi  îna,ھەوە باوەرییا خو ب ئینا
Believe,Past,They,They believed,ewan bawerîya xo bi  îna,ئەوان باوەرییا خو ب ئینا
Believe,Present,I,I believe,ez bawerîya xo bi  di înim,ئەز باوەرییا خو ب د ئینم
Believe,Present,You,You believe,tu bawerîya xo bi  di înî,تو باوەرییا خو ب د ئینی
Believe,Present,He/She,He/She believes,ew bawerîya xo bi  di înit,ئەو باوەرییا خو ب د ئینیت
Believe,Present,We,We believe,em bawerîya xo bi  di înîn,ئەم باوەرییا خو ب د ئینین
Believe,Present,You (pl.),You believe,hîn bawerîya xo bi  di înin,ھین باوەرییا خو ب د ئینن
Believe,Present,They,They believe,ew bawerîya xo bi  di înin,ئەو باوەرییا خو ب د ئینن
Believe,Future,I,I will believe,ez dê bawerîya xo bi  înim,ئەز دێ باوەرییا خو ب ئینم
Believe,Future,You,You will believe,tu dê bawerîya xo bi  înî,تو دێ باوەرییا خو ب ئینی
Believe,Future,He/She,He/She will believe,ew dê  bawerîya xo bi  înit,ئەو دێ  باوەرییا خو ب ئینیت
Believe,Future,We,We will believe,em dê bawerîya xo bi  înîn,ئەم دێ باوەرییا خو ب ئینین
Believe,Future,You (pl.),You will believe,hîn dê bawerîya xo bi  înin,ھین دێ باوەرییا خو ب ئینن
Believe,Future,They,They will believe,ew dê bawerîya xo bi  înin,ئەو دێ باوەرییا خو ب ئینن
Benefit,Past,I,I benefitted,&lt;Not Used&gt;,نە
Benefit,Past,You,You benefitted,&lt;Not Used&gt;,نە
Benefit,Past,He/She,He/She benefitted, faydê  kir,فایدێ كر
Benefit,Past,We,We benefitted,&lt;Not Used&gt;,نە
Benefit,Past,You (pl.),You benefitted,&lt;Not Used&gt;,نە
Benefit,Past,They,They benefitted,&lt;Not Used&gt;,نە
Benefit,Present,I,I benefit,&lt;Not Used&gt;,نە
Benefit,Present,You,You benefit,&lt;Not Used&gt;,نە
Benefit,Present,He/She,He/She benefits, faydê  di ket,فایدێ د كەت
Benefit,Present,We,We benefit,&lt;Not Used&gt;,نە
Benefit,Present,You (pl.),You benefit,&lt;Not Used&gt;,نە
Benefit,Present,They,They benefit,&lt;Not Used&gt;,نە
Benefit,Future,I,I will benefit,&lt;Not Used&gt;,نە
Benefit,Future,You,You will benefit,&lt;Not Used&gt;,نە
Benefit,Future,He/She,He/She will benefit, dê faydê  ket,دێ فایدێ كەت
Benefit,Future,We,We will benefit,&lt;Not Used&gt;,نە
Benefit,Future,You (pl.),You will benefit,&lt;Not Used&gt;,نە
Benefit,Future,They,They will benefit,&lt;Not Used&gt;,نە
Bet,Past,I,I bet,min qomar kir,من قومار كر
Bet,Past,You,You bet,te qomar kir,تە قومار كر
Bet,Past,He/She,He/She bet,ewî/ewê qomar kir,ئەوی/ئەوێ قومار كر
Bet,Past,We,We bet,me qomar kir,مە قومار كر
Bet,Past,You (pl.),You bet,hewe qomar kir,ھەوە قومار كر
Bet,Past,They,They bet,ewan qomar kir,ئەوان قومار كر
Bet,Present,I,I bet,ez qomarê di kem,ئەز قومارێ د كەم
Bet,Present,You,You bet,tu qomarê di key,تو قومارێ د كەی
Bet,Present,He/She,He/She bets,ew qomarê di ket,ئەو قومارێ د كەت
Bet,Present,We,We bet,em qomarê di keyn,ئەم قومارێ د كەین
Bet,Present,You (pl.),You bet,hîn qomarê di ken,ھین قومارێ د كەن
Bet,Present,They,They bet,ew qomarê di ken,ئەو قومارێ د كەن
Bet,Future,I,I will bet,ez dê qomarê kem,ئەز دێ قومارێ كەم
Bet,Future,You,You will bet,tu dê qomarê key,تو دێ قومارێ كەی
Bet,Future,He/She,He/She will bet,ew dê qomarê ket,ئەو دێ قومارێ كەت
Bet,Future,We,We will bet,em dê qomarê keyn,ئەم دێ قومارێ كەین
Bet,Future,You (pl.),You will bet,hîn dê qomarê ken,ھین دێ قومارێ كەن
Bet,Future,They,They will bet,ew dê qomarê ken,ئەو دێ قومارێ كەن
Betray,Past,I,I betrayed,min xîyanetê li  kir,من خییانەتێ ل كر
Betray,Past,You,You betrayed,te xîyanetê li  kir,تە خییانەتێ ل كر
Betray,Past,He/She,He/She betrayed,ewî/ewê xîyanetê li  kir,ئەوی/ئەوێ خییانەتێ ل كر
Betray,Past,We,We betrayed,me xîyanetê li  kir,مە خییانەتێ ل كر
Betray,Past,You (pl.),You betrayed,hewe xîyanetê li  kir,ھەوە خییانەتێ ل كر
Betray,Past,They,They betrayed,ewan xîyanetê li  kir,ئەوان خییانەتێ ل كر
Betray,Present,I,I betray,ez xîyanetê li  di kem,ئەز خییانەتێ ل د كەم
Betray,Present,You,You betray,tu xîyanetê li  di key,تو خییانەتێ ل د كەی
