English,Kurdish (Latin),Kurdish (Arabic Script),Arabic,Transliteration
I am injured,ez yê brîndarm,ئەز یێ بریندارم,أنا مجروح,ez yê breendarm
I miss you,ez ji te xerîbim,ئەز ژ تە خەریبم,أنا مشتاق لك,ez zhu te xereebum
water pipes,burîyin avî,بوریین ئاڤى,أنابيب المياھ,bureeyun avee
disabled people,kêm endaman,کێم ئەندامان,أناس معوقين,kêm endaman
pineapple,ananas,ئاناناس,أناناس,ananas
selfish,ez ezîk,ئەز ئەزیك,أناني,ez ezeek
selfish,xwebîn,خوه‌بین,أناني,xwebeen
selfish,xweperist,خوه‌په‌رست,أناني,xweperust
selfish,xwewîst,خوه‌ویست,أناني,xweweest
news,dengubas,دەنگوباس,أنباء,dengubas
news,nûçe,نووچه‌,أنباء,nûche
news,nûçe,نووچه‌,أنباء,exbar
pipe,burî,بورى,أنبوب,buree
pipe,lûle,لووله‌,أنبوب,buree
you,tu,تو,أنت,tu
you,tu,تۆ,أنت,tu
you (plural),hûn,هوون,أنت (جمع),ḧûn
you (plural),hwîn,هوین,أنت (جمع),ḧween
you don't need to apolozied,pê nevêt daxaza lêborînê bikey,پێ نەڤێت داخازا لێبۆرینێ بکەی,أنت لا تحتاج إلى الاعتذار,pê nevêt daxaza lêboreenê bukey
female,jin,ژن,أنثى,"mê, zhun"
female,mê,مێ,أنثى,"mê, zhun"
Indonesia,îndunêysîya,ئیندونێیسیا,أندونيسيا,eendunêyseeya
lie down! (command),xo bêxe erdî,خۆ بێخە ئەردی,أنسدح!,xo bêxe erdee
established,pêk hatin,پێك هاتن,أنشئ,pêk ḧatun
loop,kulpek,كولپەك,أنشوطة,klpek
nose,difin,دفن,أنف,dufun
yourselves,webixu,وەبخو,أنفسكم,webuxu
ourselves,mebixu,مەبخو,أنفسنا,mebuxu
themselves,wan bixu,وان بخو,أنفسھم,wan buxu
spent,mezaxt,مەزاخت,أنفق,mezaxt
flu,perisîv,پەرسیڤ,أنفلونزا,peruseev
they,ewan,ئەوان,أنھم,ewan
elegant,rêk û pêk,رێك و پێك,أنيق,rêk û pêk
neat,lêgday,لێگداى,أنيق,lêgday
moan,dinalit,دنالت,أنين,dunalut
moan,nalîn,نالین,أنين,naleen
malign,riswa kirin,ڕسوا کرن,أهان,"shermezar krun, meḧkûm krun"
welcome,bi xêr bên,ب خێر بێن,أھلا بك,"bu xêr bên , bu xêr ḧatun"
welcome,bi xêr hatin,ب خێر هاتن,أھلا بك,"bu xêr bên , bu xêr ḧatun"
welcome,bi xêrhatî,ب خێرھاتی,أھلا بك,"bu xêrḧatee , pêshwazee lê krun"
welcome,pêşwazî lê kirin,پێشوازی لێ کرن,أھلا بك,"bu xêrḧatee , pêshwazee lê krun"
or,yan,یان,أو,yan
doctor's orders,parêz,پارێز,أوامر الطبيب,parêz
upload (computer),barkirdin,بارکردن,أوبلود (كومبيوتر),barkrdun
uranus,oranos,ئۆرانۆس,أورانوس,oranos
geese,gelek qaz,گەلەك قاز,أوز,gelek qaz
goose,qaz,قاز,أوز,qaz
Uzbekistan,uzbêkstan,ئوزبێکستان,أوزبكستان,uzbêkstan
turn off,tamrandin,تامراندن,أوقف,tamrandun
turn off,tamrîne,تامرینە,أوقف,tamreene
turn off,vamrandin,ڤەمراندن,أوقف,vamrandun
Ukraine,okraniya,ئۆکرانیا,أوكرانيا,okranuya
initial,seretayî,سەرەتایى,أول,seretayee
day before yesterday,pêr,پێر,أول أمس,pêr
those,wêt he,وێت ھە,أولئك,wêt ḧe
first,ewl,ئه‌ول,أولا,ewl
first,êkem,ئێكەم,أولا,êkem
first,li berahiyê,ل بەراهیێ,أولا,lu beraḧuyê
first of all,li ewlî,ل ئەولی,أولًا,lu ewlee
first of all,li berahiyê,ل بەراھیێ,أولًا,lu beraḧuyê
omega,omêga,ئۆمێگا,أوميغا,omêga
What time is it?,se'et çende?,سەعەت چەندە؟,أي ساعة؟,se'et chende?
Which tribe are you from?,tu yê şkî?,تو یێ شکی؟,أي قبيلة أنت؟,tu yê shkee?
ideology,aydolojî,ئایدۆلۆژی,أيديولوجية,aydolozhee
ideology,raman,رامان,أيديولوجية,raman
Ireland,êrlenda,ئێرلەندا,أيرلندا,êrlenda
also,jî,ژی,أيضا,zhee
also,heriwesa,ھەروەسا,أيضا,ḧeruwesa
awakened,ji xewirabî,ژخەو رابى,أيقظ,zhu xewurabee
September,meha 9ê,مه‌ها ۹ئێ,أيلول,meḧa 9ê
September,"heyiva neh , îlon",ھەیڤا نەھ ، ئیلۆن,أيلول,"ḧeyuva neḧ , eelon"
Where do I put these things?,evan tşita bidanme kîrê?,ئەڤان تشتا بدانمە کیرێ؟,أين أضع ھذھ الأشياء؟,evan tshuta budanme keerê?
Where are you?,tu li kîrêy?,تو ل کیرێی؟,أين أنت؟,tu lu keerêy?
Where do you get from?,li kêrê heye?,ل کێرێ ھەیە؟,أين تحصل عليھ من؟,lu kêrê ḧeye?
Where do you live?,to li kîve dijî?,تۆ ل كیڤە دژی؟,أين تعيش؟,to lu keeve duzhee?
Where do you live?,mala te li kîveye?,مالا تە ل كیڤەیە؟,أين تعيش؟,mala te lu keeveye?
Where did they go?,ew çune kîrê?,ئەو چونە کیرێ؟,أين ذھبوا؟,ew chune keerê?
Where is your head?,ka serê te?,کا سەرێ تە؟,أين رأسك؟,ka serê te?
Where do you serve?,tu li kîrê şol dikey?,تو ل کیرێ شۆل دکەی؟,أين عندكم؟,tu lu keerê shol dukey?
Where is your house?,mala te li kîrê ye?,مالا تە ل کیرێ یە؟,أين منزلك؟,mala te lu keerê ye?
Where is your mom?,kanê deyka hewe?,کانێ دەیکا ھەوە؟,أين والدتك؟,kanê deyka ḧewe?
Where did you bring this money?,te ev pare ji kîrê înan?,تە ئەڤ پارە ژ کیرێ ئینان؟,أين وجھتم ھذا المال؟,te ev pare zhu keerê eenan?
reboot,dîsa dest pê kirin,دیسا ده‌ست پێ کرن,إبدأ مجددا,deesa dest pê krun
discharge,derxistin,ده‌رخستن,إبراء الذمة,derxustun
discharge,derkirin,ده‌رکرن,إبراء الذمة,derkrun
needle,drêşk,درێشک,إبرة,"deruzee, drêshk"
needle,derizî,ده‌رزی,إبرة,"deruzee, drêshk"
needle,şranqe,شرانقە,إبرة,shranqe
pitcher,mesîn,مەسین,إبريق,meseen
deport,dersinor,ده‌رسنۆر,إبعاد,dûrukrun
devil,ecine,ئەجنە,إبليس,ejne
devil,şeytan,شه‌یتان,إبليس,sheytan
thumb,tla beranê,تلا بەرانێ,إبھام اليد,tla beranê
follow,pêgirî kirin,پێگری کرن,إتبع,pêguree krun
leave it alone,bihêle,بهێلە,إتركه وحده,buḧêle
provoke,azirîn,ئازرین,إثارة,têk dan
provoke,têk dan,تێك دان,إثارة,têk dan
provoke,darînt,دئارینت,إثارة,dareent
sensationalize,hestiyar kirin,هه‌ستیار کرن,إثارة,shareza
stir up,arandin,ئاراندن,إثارة,te'een
stir up,azirandin,ئازراندن,إثارة,te'een
contentious,şerker,شه‌رکه‌ر,إثارة للخلاف,ḧevpushk
contentious,gengeşe,گه‌نگه‌شه‌,إثارة للخلاف,ḧevpushk
prove,pesend diket,پەسەند دکەت,إثبات,pesend duket
prove,rastî nîşandan,ڕاستی نیشاندان,إثبات,rastee neeshandan
prove,selmandin,سه‌لماندن,إثبات,selmandun
iniquity,zordarî,زۆرداری,إثم,zordaree
iniquity,sûc,سووج,إثم,sûj
iniquity,guneh,گونەھ,إثم,guneḧ
"2,000,000",dû milyon,دوو ملیون,إثنان مليون,mulyon
Ethiopian,ḧebeşî,حه‌به‌شی,إثيوبي,destuk
answer,berisiv,بەرسڤ,إجابة,berusuv
answer,cab,جاب,إجابة,jab
procedure,rêbaz,رێباز,إجراء,rêbaz
set down,danan,دانان,إجلس,danan
unanimity,pevdengî,په‌ڤده‌نگی,إجماع,deejeetal
unanimity,tifaq,تفاق,إجماع,deejeetal
unanimity,yekdengî,یه‌کده‌نگی,إجماع,deejeetal
gross,dahat,داھات,إجمالي,"xurab , daḧat"
stress,stres,ستره‌س,إجھاد,stres
abort,aborsiyon,ئابۆرسیۆن,إحباط,aborsuyon
abort,jiberbirin,ژبه‌ربرن,إحباط,zhuberburun
abort,Kurtaj,کورتاژ,إحباط,krtazh
frustration,hîvî şikestinî,هیڤی شکه‌ستنی,إحباط,dep
thwart,asteng kirin,ئاسته‌نگ کرن,إحباط,gurê
animal (to carry loads),"dewar, wulax",ده‌وار، وولاخ,إحتشاد المواشي,"dewar, wulax"
make progress,pêş keftin,پێش کەفتن,إحراز تقدم,pêsh keftun
sensation,dilîn,دلین,إحساس,shareza
sense,pêhesîn,پێهه‌سین,إحساس,pêḧeseen
sense,hayjêbûn,هایژێبوون,إحساس,pêḧeseen
sense,"hiş, his",هش، هس,إحساس,"ḧush, ḧus"
sense,hest,هه‌ست,إحساس,ḧest
statistic,hejmarî,ھەژماری,إحصائية,ḧezhmaree
revival,vejîn,ڤه‌ژین,إحياء,vezheen
specialist,pispor,پسپۆر,إختصاصي,"taybetzana , puspor"
specialist,taybetzana,تایبھ‌تزانا,إختصاصي,"taybetzana , puspor"
specialist,şareza,شارەزا,إختصاصي,shareza
conceal,veşartin,ڤه‌شارتن,إخفاء,veshartun
conceal,nehînî parastin,نه‌هینی پاراستن,إخفاء,neḧeenee parastun
hide,veşaritin,ڤەشارتن,إخفاء,vesharutun
hide,kevil,كەڤل,إخفاء,kevul
evacuate,vala kirin,ڤالا کرن,إخلاء,vala krun
dedication,pêşkêş kirin,پێشکێش کرن,إخلاص,"teruxanukrun , pêshkêsh krun"
dedication,terixanikirin,تەرخانكرن,إخلاص,"teruxanukrun , pêshkêsh krun"
devotion,ayindarî,ئایندارى,إخلاص,ayundaree
devotion,terxankirin,ته‌رخانکرن,إخلاص,terxankrun
administration,îdare,ئیداره‌,إدارة,reefeberayetee
administration,rîfeberayetî,ریفەبەرایەتی,إدارة,reefeberayetee
administration,kargêrî,کارگێری,إدارة,kargêree
manage,birrêve dibit,بڕێڤە دبیت,إدارة,burrêve dubut
management,rêveberatî,رێڤەبەراتى,إدارة,rêveberatee
conviction,tawanikirin,تاوانکرن,إدانة,tawanukrun
input,beyan,به‌یان,إدخال,"daḧat, beyan"
input,dahat,داهات,إدخال,"daḧat, beyan"
introduce,pêşkêş kirin,پێشکێش کرن,إدخال,pêshkêsh duket
introduce,dan naskirin,دان ناسکرن,إدخال,pêshkêsh duket
introduce,dan niyasîn,دان نیاسین,إدخال,pêshkêsh duket
insert (computer),têxistin,تێخستن,إدراج (الكمبيوتر),têxustun
push,pal didet,پال ددەت,إدفع,pal dudet
addiction,bengîtî,به‌نگیتی,إدمان,bengeetee
addiction,xûgrî,خووگری,إدمان,xûgree
if,"eger, heke",ئه‌گه‌ر، هه‌که‌,إذا,"eger, ḧeke"
if,heker,ھەكەر,إذا,ḧeker
broadcasting,"weşan, weşandin",وه‌شان، وه‌شاندن,إذاعة,"weshan, weshandun"
ear,guh,گوھ,إذن,guḧ
permission,mulet,مولەت,إذن,mulet
permission,"muwefeqa , destur",مووەفەقا ، دەستور,إذن,"muwefeqa , destur"
God's will,Daxwaza Xwedê,داخوازا خودێ,إرادة الله,enshalaḧ
bloodshed,xwînrêjî,خوینرێژی,إراقة الدماء,deshut
send,bi rê kirin,ب ڕێ کرن,إرسال,bu rê krun
send,rewane kirin,ڕه‌وانه‌ کرن,إرسال,rewane krun
send,şandin,شاندن,إرسال,shandun
send,firê kirin,فرێ کرن,إرسال,furê krun
send,hinartin,هنارتن,إرسال,ḧunartun
Terrorist,"îrhabî , têrurîst",ئیرھابی ، تێروریست,إرھابي,"eerḧabee , têrureest"
removal,derkirin,ده‌رکرن,إزالة,derkrun
removal,rakirin,راکرن,إزالة,rakrun
remove,rakirin,ڕاکرن,إزالة,rakrun
remove,ji nav birin,ژ ناڤ برن,إزالة,zhu nav burun
removed,"bebû , barkrî",بەبوو ، بارکری,إزالة,"bebû , barkree"
removed,rakrî,راکری,إزالة,rakree
bother,bêzar diket,بێزار دکەت,إزعاج,bêzar duket
bother,dilgiran kirin,دلگران کرن,إزعاج,dulguran krun
bother,min bêzar neke,من بێزار نەکە,إزعاج,mun bêzar neke
nuisance,azar,ئازار,إزعاج,azar
bloom,bişkivîn,بشکڤین,إزهار,zhu beer krun
bloom,pişkivîn,پشکڤین,إزهار,zhu beer krun
abuse,tecawiz kirin,ته‌جاوز کرن,إساءة,xeber dan
abuse,xeber dan,خەبەردان,إساءة,xeber dan
Spain,îspanîya,ئیسپانیا,إسبانيا,eespaneeya
hysterectomy,mal biçîkê wê îna der,مال بچیکێ وێ ئینا دەر,إستئصال الرحم,mal bucheekê wê eena der
hysterectomy,helkêşana malbiçûkî,هه‌لکێشانا مالبچووکی,إستئصال الرحم,ḧelkêshana malbuchûkee
strategy,stratejî,ستراته‌ژی,إستراتيجية,stratezhee
get ready,çê bîn,چێ بین,إستعد,chê been
Isaac,îsḧaq,ئیسحاق,إسحاق,eesḧaq
pull out,înan derê,ئینان دەرێ,إسحب للخارج,eenan derê
pull out,bîne derê,ینە دەرێ,إسحب للخارج,beene derê
Israel,isirayl,ئسرائیل,إسرائيل,usurayl
profusion,zeḧfî,زەحفى,إسراف,zeḧfee
barn,umbar,عومبار,إسطبل,umbar
band aid,plastir,پلاستر,إسعافات أولية,plastur
sponge,îsfenc,ئیسفەنج,إسفنج,eesfenj
toweling,zuha kirin,زوها كرن,إسفنج,zuḧa krun
drop,çip,چپ,إسقاط,"dulop , qetare"
drop,çipik,چپک,إسقاط,"dulop , qetare"
drop,dilop,دلۆپ,إسقاط,"dulop , qetare"
drop,qetare,قەتارە,إسقاط,"dulop , qetare"
drop,êxistin,ێخستن,إسقاط,êxustun
overthrow,werdigêrît,وەردگێریت,إسقاط,werdugêreet
projection,derhatin,دەرھاتن,إسقاط,derḧatun
noun,nav,ناڤ,إسم,nav
noun,navdêr,ناڤدێر,إسم,navdêr
participle,navê kara,ناڤێ كارا,إسم الفاعل,navê kara
diarrhea,zik çun,زک چون,إسهال,zuk chun
contribution,beşdarî,به‌شداری,إسهام,beshdaree
contribution,hevpar,هه‌ڤپار,إسهام,ḧevpar
indication,nîşan,نیشان,إشارة,neeshan
reference,jêder,ژێدەر,إشارة,zhêder
sign,îmzadiket,ئیمزادكەت,إشارة,eemzaduket
sign (n),nîşan,نیشان,إشارة,neeshan
satisfaction,dilşadî,دلشادی,إشباع,sust
satisfaction,rizamendî,ڕزامه‌ندی,إشباع,ḧeres
satisfaction,qanetî,قانه‌تی,إشباع,sust
supervision,çavdêrî,چاڤدێری,إشراف,chavdêree
sunshine,"tav, tava rojê",تاڤ، تاڤا ڕۆژێ,إشراق,"tav, tava rozhê"
engage,dxwazt,دخوازت,إشراك,dxwazt
notice,agehdarî,ئاگەھداری,إشعار,ageḧdaree
radiation,tîşkdan,تیشكدان,إشعاع,teeshkdan
ignite,agirîdaẍda kirin,ئاگریداغدا کرن,إشعال,agureedaẍda krun
infect,pîs kirin,پیس کرن,إصابة,pees krun
infect,vegirtin,ڤه‌گرتن,إصابة,vegurtun
finger,"tl , tibil",تل ، تبل,إصبع,"tl , tubul"
insistence,pelpkirin,پەلپكرن,إصرار,pelpkrun
absorption,çaksazî,چاکسازی,إصلاح,chaksazee
absorption,mijîn,مژین,إصلاح,muzheen
reform,çaksazî,چاکسازی,إصلاح,chaksazee
add,zêdekirin,زێدەكرن,إضافة,zêdekrun
addition,kumkirin,كومكرن,إضافة,kmkrun
additional,zêdekirî,زێدەكرى,إضافي,zêdekree
extra,"zêde , hêş , berdest",زێدە ، هێش ، بەردەست,إضافي,"zêde , ḧêsh , berdest"
strike with,veweşandin,ڤه‌وه‌شاندن,إضراب مع,ta
frame,çarçove,چارچۆڤە,إطار,charchove
plaque,tablo,تابلۆ,إطار الصورة,gozek
lengthen,dirêjayî,درێژایى,إطالة,durêzhayee
compliment,pesin kirin,په‌سن کرن,إطراء,pesun krun
compliment,pesin,پەسن ، ئاخفتنێن جوان,إطراء,pesun
extinguish,divemirînt,دڤەمرینت,إطفاء,duvemureent
extinguish,vemirandin,ڤه‌مراندن,إطفاء,vemurandun
extinguishing fire,agirkujînî,ئاگرکوژینی,إطفاء الحريق,agurkzheenee
fireman,"agir vemirêner , vemirandinê",ئاگر ڤەمرێنەر ، ڤەمراندنێ,إطفائي,"agur vemurêner , vemurandunê"
launch,destpêkirin,ده‌ستپێکرن,إطلاق,destpêkrun
launch,dihavêt,دھاڤێت,إطلاق,duḧavêt
release,berdan,به‌ردان,إطلاق,berdan
release (v),aza diket,ئازادکەت,إطلاق,"ber dudet , aza duket"
release (v),belav kirin,به‌لاڤ کرن,إطلاق,belav krun
release (v),ber didet,بەر ددەت,إطلاق,"ber dudet , aza duket"
absolutely,bêguman,بێگومان,إطلاقا,bêguman
absolutely,pişit rastî,پشت راستى,إطلاقا,pushut rastee
reinstatement,vegerandin,ڤه‌گه‌راندن,إعادة,zundan krun
reinstatement,li cihê xo yê berê vegerîn,ل جهێ خۆ یێ به‌رێ ڤه‌گه‌رین,إعادة,zundan krun
reaffirm,pesend kirin,په‌سه‌ند کرن,إعادة التأكيد,raseree krun
recycle,dûbare sazî,دووبارە سازی,إعادة تدوير,dûbare sazee
subsidy,dest girîtin,دەست گریتن,إعانة مالية,dest gureetun
acknowledgment,piştrastkirin,پشتراستکرن,إعتراف,"ḧafurree , afurr"
acknowledgment,nasyarî,ناسیاری,إعتراف,"ḧafurree , afurr"
admiration,dilpêmayî,دلپێمایی,إعجاب,duqeleent
admiration,heyranî,هه‌یرانی,إعجاب,duqeleent
preparation,amadekarî,ئاماده‌کاری,إعداد,amadekaree
preparation,berhevî,به‌رهه‌ڤی,إعداد,berḧevee
preparation,berhevkirin,بەرھەڤكرن,إعداد,berḧevkrun
preparation,hazirî,هازری,إعداد,ḧazuree
prepare,amade kirin,ئامادە کرن,إعداد,amade krun
prepare,berhev kirin,به‌رهه‌ڤ کرن,إعداد,berḧev krun
prepare,çê bîn,چێ بین,إعداد,chê been
prepare,kar û barê xo kirin,کار و بارێ خۆ کرن,إعداد,kar û barê xo krun
preparatory,amadeyî,ئامادەیى,إعدادي,amadeyee
execution,sêdaredan,سێداره‌دان,إعدام,sêdaredan
tornado,babelîsk,بابه‌لیسک,إعصار,babeleesk
tornado,"sar , reşba",عسار ، رەشبا,إعصار,"sar , reshba"
give glory,bi rumet kirin,ب رومەت کرن,إعطاء المجد,bu rumet krun
inform,agehdar diket,ئاگەھدار دکەت,إعلام,ageḧdar duket
notify,agehdar diket,ئاگەھدار دکەت,إعلام,ageḧdar duket
announcement,agehdarî,ئاگەھداری,إعلان,ageḧdaree
announcement,ragehandin,ڕاگەھاندن,إعلان,rageḧandun
